,de,ch_dialect
15992,Aber Hosmer war in Geldsachen unabhängig und hat nie auch nur auf einen Schilling von mir geschielt.,Aber de Hosmer isch i Gäldsache unabhängig gsi und hät nie au nur uf ein Schilling vo mir gspienzled.
29921,Die Hunde zankten sich um die Leckerbissen.,D Hönd hend omd Läckerli gstrette.
1969,Dazu wurde eine Arbeitsgruppe zum Thema künstliche Intelligenz eingesetzt.,Dezue isch en Arbetsgruppe zum Thema künschtlichi Intelligenz iigsetzt worde.
20613,"Eines Tages sagte ihm seine Mutter: «Rotkäppchen, hier ist ein Stück Kuchen und eine Flasche Wein.","Es Tagsch het mu d'Müetter gseit: ""Rotchäppli, hie isch es Stuck Chüechu und en Fläscha Wii."""
15632,Die Rechten und Linken sind gemeinsam gegen mich. Darauf bin ich stolz.,Dia Rechta und Linka sind gmeinsam gega mi. U das bin i Stolz.
11591,"Wir wollen verhindern, dass Demonstrationen stattfinden, ohne dass jemand davon weiss.","Miar wenn verhindera, dass Demonstrationa stattfinden, ohni dass öpert drvo weiss."
14270,"Vertrauen in Schweizer Lebensmittel Es muss nicht immer Software sein, um in China Erfolg zu haben.","Vertraua in Schwizer Lebensmittel. Es muass nit immer Software sii, zum in China Erfolg z ha."
30708,Es schleicht niemand auf dem Gang herum und belauscht uns.,Niemer schliicht ufem Gang ome ond lost üs zue.
14149,Diese Führung konnte die Schweiz bis zum Ende konservieren.,Dia Füahrig het d Schwiz bis zum End konserviara könna.
13046,"Jede Karte zählt Minuspunkte gemäß ihrem aufgedruckten Wert, bei Kartenreihen zählt jedoch nur der Wert der niedrigsten Karte.","Jedi Karta zellt Minuspünkt gemäss ihrem ufdruckta Wert, bi Kartareiha zellt aber nur dr Wert vur niedrigsta Karta."
26812,Donald Trump stoppte in einem dritten Fall vor dem Supreme Court der USA die Herausgabe von Finanzunterlagen.,Donald Trump het emene drette Fall fom Supreme Court fode USA d'herusgab fo Finanzonterlage gstoppt.
30155,"Er glaubt, dass bei Hulks Verwandlungen jeweils alle roten Blutkörperchen zerdrückt würden.","Är glaubt, dass bede Verwandlig vom Hulk emmer alli rote Bluetkörperli verdröckt wärded."
2387,Also ich verstehe das gerade inhaltlich überhaupt nicht.,Also I vostoh da grad inhaltlich überhaupt nöd.
2539,"Alter Freund, Du schläfst jetzt ein.","Alte Fründ, du schlofsch jetzt ii."
10119,"Es dauerte mehr als zwei Jahre, bis der auf fünf Millionen Dollar geschätzte Schaden repariert war.","Es het meh als zwei Johr duurt, bis dr uf füf Milliona Dollar gschätzti Schada repariart gsi isch."
23321,"«Machen wir Industriepolitik übers VBS nur für einige grosse Deutschschweizer Unternehmen oder für alle Landesteile», fragte Levrat.","""Mache mr Industriepolitik übers VBS nur für ä paar grossi Dütschschwiizer Unternähme oder für alli Landesteil"", het d Levrat gfrogt."
30327,Angestrebt ist auch eine Fusion zwischen der Schule für Gestaltung in Aarau und der Berufsschule Aarau.,Mer strebt au e Fusion zwösche de Schuel för Gstaltig en Aarau ond de Bruefsschuel Aarau ah.
257,"Gerade auch, weil es dort auf kleinem Raum viele Spezialisten gebe, die sich austauschten, wie sonst kaum wo auf der Welt.","Grad au, wils döt uf chlinem Ruum viel Spezialiste git, wo sich uustusched, wie suscht chum wo uf de Welt."
1004,Weltbekannt wurde Goldblatt durch seine experimentellen Forschungsarbeiten auf dem Gebiet des Bluthochdrucks.,Weltbekannt isch de Goldblatt dur sini experimentelli Forschigsarbeite ufem Gebiet vom Bluethochdruck worde.
24094,Mehr als 300 Menschen fliehen durch diese heimlich aus der DDR nach West-Berlin.,Mehr als 300 Mensche flüchte durch die heimlich us dr DDR noch West-Berlin.
26412,Mannschaft integriert.,Mannschaft integriert.
22252,Ja ich ruhe mich gerade aus nach was sieht es denn sonst aus?,Ja ich liwu gat nah was gsehts de susch üs?
17586,Ich hab auf Unterstützung gewartet.,Ich han uf Unterstützig gwartet.
15641,Innenminister Berset muss die Reform von AHV und beruflicher Vorsorge durchs Parlament und die Volksabstimmung bringen.,Innaminister Berset muass d Reform vo AHV und bruaflicher Vorsorg durs Parlament und d Volksabstimmig bringa.
18201,"Während der Gefangenschaft spielte er regelmäßig Fußball, aber nur auf Sand.",Während de Gfangeschaft häter regelmässig Fuesball gspillt aber nur uf Sand.
17270,"Bei der Bildungspolitik habe die Partei Mandelas, der ANC, ebenso versagt wie auf dem Arbeitsmarkt.","Bide Bildigspolitik hegi d Partei vom Mandela, d ANC, glich verseit wie ufem Arbetsmärt."
21218,"Es wird kälter im August, September und Oktober.","Äs chunt chelter im Auguscht, Septämber und Oktober."
5194,Reb hatte sich in seine Decke gerollt und war ganz an die Wand gerückt.,Dr Reb hetsech i sini Dechi grout und isch ganz ad Wand drückt gsi.
5946,Auch aus dieser Ehe gehen jedoch keine Nachkommen hervor.,Au us dera Ehe gönd jedoch kei Nochkomma hervor.
3322,Ansonsten zählt der US-Präsident in seiner Rede die Erfolge seiner Regierung auf.,Süsch zeut dr US-Presidänt i sirä Reed d Erfougä vor Regierig uf.
13039,1968 wurde der Fall in einem Teil der belgischen Fernsehserie Beschuldigde sta op verarbeitet.,1968 isch dr Fall inem Teil vur belgischa Fernsehserie Beschuldigde sta op verarbeitet worda.
22594,"Es ist immer eine Freude zu erleben, dass du siegst.","Es isch immer en Freid z'erläbu, dass dü gwinnsch."
21875,Am Abend nicht ganz wolkenlos.,Am Abu nit ganz wolkulos.
23910,Wir haben die dritte Tropische Nacht in folge.,Mir händ ä dritti tropischi Nacht in Folg.
5855,"In den Befreiungskriegen verwischte sich in Preußen die Unterscheidung zwischen Füsilieren, Grenadieren und Musketieren.","In da Befreiigskriag het sich in Preussa d Unterscheidig zwüscha Füsiliar, Grenadiar und Musketiar verwischt."
18576,"Nur verstand sie nicht, warum.",Nur hät si nöd verstande werum.
325,Diese wiederum sind Teil «Deutschschweizer Vereinigung» mit Sitz in Zürich.,"Die wiederum sind Teil vo de ""Dütschschwiizer Vereinigung"" mit Sitz i Züri."
30409,Noch nie hat ihn jemand so laut angeschrien.,No nie het ne öbber so luut agschroue.
17858,Pro Haar sind die Kräfte verschwindend klein.,Pro Haar sind d Kräft winzig chli.
80,"Haben etwas getrunken, um uns zu entspannen.","Hend öpis trunke, um üs zentspanne."
24370,Interessant dabei: Diese «Marathon-Teams» wurden danach auch Schweizer Meister.,"Ineressant debii: Die ""Marathon-Teams"" sind nochär au Schwiizer Meister worde."
9775,Aufgrund der sehr unwirtlichen Siedlungsbedingungen gerieten allerdings die russischen Agenten rasch in Argumentationsnöte.,Ufgrund vu da sehr unwirtlicha Siedlingsbedingiga sind allerdings dia russischa Agenta rasch in Argumentationsnöt grota.
17991,"Dass noch alle Drohnen am Boden seien, bis die definitiven Ergebnisse der Untersuchung vorliegen, sei eine freiwillige Vorsichtsmassnahme.","Dass no alli Drohne am Bode seged bis di definitive Ergäbniss vode Untersuechig da sind, seg e freiwilligi Vorsichtsmassnahm."
18485,Ich streite mich ohnehin ungern mit Zwergen.,Ich strite sowieso nöd gern mit Zwärge.
12040,"April 1792 beschloss der Kongress der Vereinigten Staaten, eine Silbermünze mit dem Namen Dollar zu schaffen.","April 1792 het dr Kongress vu da Vereinigta Staata beschlossa, a Silbermünza mitem Nama Dollar z schaffa."
27418,"Die drei Medizin-Nobelpreisträger haben in Grundzügen erforscht, wie dieser Notbetrieb funktioniert.","Die drü Medizin-Nobelträger händ ede Grondzög erforscht, wie die Notbetrieb fonktioniere."
1519,Gerade diese Trennung wurde von der Linken kritisiert.,Grad die Trennig wird vo de Lingge kritisiert.
20752,"Je mehr Vieh, desto höher die Emissionen.","Je meh Vieh, desto hecher d'Emissione."
5629,"Stangenbohnen haben eine lange Tradition in der Schweiz, denn sie ergeben auf relativ wenig Fläche viel Ertrag.","Stangabohna hend a langi Tradition in dr Schwiz, will sie ergeben uf relativ wenig Flächi viel Ertrag."
13773,Einer Polizeimitteilung zufolge ereignete sich der Unfall ausgangs eines Waldes.,Nera Polizeimitteilig noch het sich dr Unfall am Usgang vunem Wald ereignet.
29038,"Es seien keine Mutationen beobachtet worden, was eine gute Nachricht ist.","Es seged kei Mutatione beobachtet worde, was en gueti Nochrecht esch."
14119,Manuel Köng und Experte Matthias Simmen kommentieren alle Rennen live aus Östersund in Schweden.,Dr Manuel König und dr Expert Matthias Simmen kommentiaren alli Renna live us Östersund in Schweda.
10261,Ich bin mir nicht ganz sicher.,I bin miar nit ganz sicher.
6758,"Euron Greyjoy hat in ihrem Auftrag mit seiner Flotte 20’000 Männer der «Golden Company» nach Westeros gebracht, allerdings keine Elefanten.","Dr Euron Greyjoy het in ihrem Uftrag mit sinara Flotta 20'000 Männer vu dr ""Golden Company"" noch Westeros brocht, allerdings kei Elefanta."
3770,Sie entspricht der Anzahl der im Computer erscheinenden Laufwerke.,Si entschpricht dr Aazau vodä erschiinendä Loufwärch im Computer.
4717,"Diese soll genutzt werden, um die Umgebung der Erdbeeren zu erwärmen.","Die söu gnutzt wärdä, um d Umgäbig vodä Ärdbeeri z erwärmä."
22399,Kurz vor Weihnachten schneite es leicht.,Churz vor Wiehnächtu hets liecht gschnit.
4187,"Die Bauern erhalten dafür einerseits Direktzahlungen vom Bund, sie können aber am Markt auch mehr verlangen.","D Purä bechömä drfür einersits Diräktzahligä vom Bund, si chöi aber am Markt o me verlangä."
14473,"Sie trage dem Selbstbestimmungsrecht am meisten Rechnung, hält sie fest.","Sie trägi am Selbstbestimmigsrecht am meista Rechnig, hebt sie fest."
6461,"Den Zugang gewährte ein etwa zwölf Meter hoher, tonnengewölbter Torturm.","Dr Zuagang het an öps zwölf Meter hoha, tonnagwölbta Torturm gwährt."
26978,Aber alle haben dieselben Sorgen.,Aber alli händ die gliche Sorge.
21739,Ich habe ihn im sport völlig zerpflückt.,Ich ha nu im Sport voll üsenand gnu.
6984,"Wenn wir beispielsweise bei Liegenschaften möglichst schnell vom Öl wegkommen würden, wäre das ein riesiger Anreiz.","Wemmer bispielswiis bi Liegaschafta möglichst schnell vum Öl wegkoh würen, wär das an riesiga Areiz."
7201,Es zerriss ihm das Herz.,Es het ihm ds Herz zerrissa.
30032,Lockerschnee weißt eine extrem geringe Dichte auf.,Lockerschnee het en extreem grengi Dechti.
5820,"Sie werden daher meistens Süßspeisen, Eiscreme oder Mayonnaise zugesetzt.","Sie werden drum meistens Süasspiisa, Glace oder Mayonnaise zuagsetzt."
21301,"Ganz anders in Amerika, wo das Reichen-Ranking in Wirtschaftsmagazinen wie «Forbes» schon seit dem ersten Weltkrieg Tradition ist.","Ganz annersch z'Amerika, wa z'Riichu-Ranking in Wirtschaftsmagazini wie ""Forbes"" scho sit dum Erschtu Wältchrieg Tradition isch."
11927,"Wenn eine Unternehmung wirklich wegzieht, weiss sie dann, dass sie etwas zurückbezahlen muss?","Wemma a Unternehmig würkli wegzücht, weiss sie denn, dass sie öpis zruckzahla muass?"
9009,Die Intimsphäre und damit die Intimität wird durch Indiskretion verletzt.,D Intimsphära und drmit d Intimität wird dur Indiskretion verletzt.
10680,"Knapp die Hälfte der Deutschen ziehen ihm andere Formen vor, tschüs und tschau kommen zusammen auf etwas über 50 Prozent.","Knappp d Hälfti vu da Dütscha züchen ihm anderi Forma vor, tschüs und tschau kömmen zemma uf as bizli über 50 Prozent."
4826,"Dass noch alle Drohnen am Boden seien, bis die definitiven Ergebnisse der Untersuchung vorliegen, sei eine freiwillige Vorsichtsmassnahme.","Dass no aui Drohnä am Bodä sigä, bis die definitivä Ergäbnis vor Ungersuechig vorligä, sig ä freiwiuigi Vorsichtsmassnahm."
22904,«Dass ich dich besser packen kann!»,"""Demit ich di besser packe ka!"""
9981,"Ich selbst, Sire, habe kein anderes Verdienst als Ihre Befehle ausgeführt zu haben.","I selber, Sire, han kei anderes Verdianst als Ihri Befehl usgfüahrt z haa."
1297,Tatsächlich stiegen viele Leute in das Comic-Gewerbe der staatlich unterstützten Verlage ein.,Tatsächlich stiged vill Lüüt is Comic Gwerb vo de staatlich unterstützte Verläg ii.
17222,"Der preussische Ministerpräsident liess die Polen in Posen ihre Kultur, ihre Sprache nicht leben.","De preussischi Ministerpresidänt hät d Pole in Pose ihri Kultur, ihri Sprach nöd läbe lah."
24455,Einige Jugendliche wühlten in Eimern mit malaysischen Mikrochips.,Ä paar Jugendlichi hän in Kessel mit malaysische Mikrochips gwüehlt.
22465,"Ich hatte zwei Zigaretten geraucht, ehe er sich bewegte.",Ich ha zwei Zigaret gröikt biser schi bewegt het.
18859,"Hallo Süßer, wie wäre es mit einer schnellen Nummer?","Hallo Süesse, wie wärs mitere schnälle Nummere?"
18483,"Er ist es, der unser Kind gestohlen hat.","Er isches, wo oises Chind klaut hät."
27034,Der Politologe Marc Bühlmann lebt im Berner Jura und kennt den Konflikt.,De Politolog Marc Bühlmann läbt em Bärner Jura ond kennt de Konflekt.
2938,"Nun wird in einem politischen Vorstoss verlangt, dass der Bundesrat einen Bericht über die Gesundheit von Schwulen und Lesben erstellt.","Iz wird imene politischä Vorschtoss verlangt, dass dr Bundesrat ä Bricht über d Gsundheit vo Schwulä und Lesbä erschteut."
13958,Heute verbindet man mit Hollywood Glamour und Filmstars.,Hüt verbindet ma mit Hollywood Glamour und Filmstars.
23128,Im Bereich der heutigen Wallfahrtskirche verließen ihn die Kräfte und er sank erschöpft nieder.,Im Beriich vo dr hütige Wohlfahrtskirche hän ihn d Kräft verloh und är isch erschöpft niedergsunke.
9974,Die beiden Charaktere Phoebe und Ursula sind Zwillinge.,Die beida Charaktera Pheobe und Ursula sind Zwilling.
22443,"An der engsten Stelle des Meeresarms fand sie den Pfosten, der die Lücke in den Mangroven markierte.","Aner ängschtu Stell vam Meerarm het schi der Pfoschtu gfundu, wa dLücka ine Mangroven markiert hent."
18681,"Das ist Sache der Kantone, respektive der Kantonsapotheker.","Das isch Sach vode Kantön, respektive vode Kantonsapotheker."
26161,Dort wurden sie gegen Lungenentzündungen geimpft und drei Wochen in einem Einzeliglu gehalten.,Dete send gäge Longeentzönig gempft worde ond drü Woche emene Einzeliglu ghalte worde.
20830,Herbert Kappauf warnt vor verlockenden Allmachtsfantasien.,Der Herbert Kappauf warnt vor verlockendu Allmachtsfantasie.
19994,Nun ist die Pflegefachfrau seit Monaten arbeitsunfähig.,Jetz isch die Pflegfachfröi sit Monati arbeitsunfähig.
14832,"Dass wir aber für die Gipfeli und das Schüümli auf dem Kaffee noch Drittmittel holen müssen, ist ganz klar.","Dass miar aber für d Gipfali und ds Schüümli uffem Kaffee no Drittmittel hola müan, isch klar."
29577,Hongkong und Macao gehören einfach zu China.,Hongkong ond Macao ghöred eifach zo China.
19038,"Es sei nicht erwiesen, dass Uber Schweiz der Arbeitgeber sei, so das Gericht.","Es segi nöd bewise, dass d Schwiz de Arbetgeber segi, seit s Gricht."
7005,"Immerhin gibt es auf politischer Ebene verschiedene Vorstösse, die Nachteile für Frauen oder Männer abbauen wollen.","Immerhin gits uf dr politischa Ebeni verschiedni Vorstöss, wo Nochteil für Fraua oder Männer abbaua wennd."
7206,Die zwei Autos sind auf der Autostrasse zusammengestossen und es hat laut geknallt.,Dia zwei Autos sind uf dr Autostross zemmagstossa und es het luut knallt.
6655,"In den nächsten Tagen bleibt es in den tieferen Lagen kalt, in den Bergen hingegen wird es wärmer.","In da nögschta Täg blibts in da tüüfera Laga kalt, in da Berga hingega wirds wärmer."
11268,"Ab 1865 lebte er dauernd in München, wo er auch als Journalist tätig war.","Ab 1865 het er durend in Müncha glebt, wo er au als Journalist tätig gsi isch."
23926,Die Lawinengefahr im ganzen Alpenraum noch erheblich.,D Lawinegfohr im ganze Alperuum isch no erheblich.
25489,"Da stehen Kopfsalat, Eichblattsalat und Zuckerhut neben Carmelle-Tomaten, Zitronenbasilikum und Blumenmischungen.","Dete stönd Chopfsalot, Eichbergsalot ond Zockerhuet näbe Carmelle-Tomate, Zitronebasilikom ond Bluememeschige."
29299,Bekannter dürfte sie hingegen in Argentinien sein.,Bekannter döffteds deför en Argentinie sie.
12111,"Politisch  gehörte die rechte Okerseite früher zum Herzogtum Braunschweig, die linke Seite zum Königreich Hannover.","Poltiisch het dia recht Okersita früahner zum Herzogtum Braunschweig ghört, dia linki Sita zum Königrich Hannover."
25883,Neben den Kräutern für die Frankfurter Grüne Soße werden hauptsächlich Feldsalat und Rauke angebaut.,"Näbe de Chrüter för d'Frankforter grüeni Sosse, wärde hauptsächlech Feldsalot ond Rauke about."
30107,Heute wird jedes zweite Auto in Norwegen elektrisch betrieben.,Höt werd jedes zwoite Auto en Norwege elektrisch betrebe.
2017,"So wird an einem Lebenselixier getüftelt, das uns ewige Jugend schenken soll.","So wird amne Lebeselixier tüftled, wo üs ewigi Jugend söll schenke."
12684,"Zehn Minuten dauert das Ritual, dann schneidet der Heiler dem Huhn die Kehle durch und lässt das Blut über den Schrein tropfen.","Zehn Minuta durt ds Ritual, denn schnidet dr Heiler am Huahn d Kehli dura und loht ds Bluat über da Schrein tropfa."
